labels,path
angry,./Session1/sentences/wav/Ses01M_impro04/Ses01M_impro04_M014.wav
happy,./Session3/sentences/wav/Ses03M_impro03/Ses03M_impro03_F026.wav
angry,./Session3/sentences/wav/Ses03F_script03_2/Ses03F_script03_2_M008.wav
neutral,./Session3/sentences/wav/Ses03M_script02_2/Ses03M_script02_2_M020.wav
angry,./Session5/sentences/wav/Ses05F_impro05/Ses05F_impro05_F019.wav
sad,./Session3/sentences/wav/Ses03F_impro06/Ses03F_impro06_F026.wav
happy,./Session3/sentences/wav/Ses03M_impro07/Ses03M_impro07_M025.wav
angry,./Session4/sentences/wav/Ses04M_script03_2/Ses04M_script03_2_F048.wav
sad,./Session3/sentences/wav/Ses03M_impro02/Ses03M_impro02_M003.wav
happy,./Session5/sentences/wav/Ses05F_impro08/Ses05F_impro08_M025.wav
neutral,./Session3/sentences/wav/Ses03F_impro04/Ses03F_impro04_M002.wav
happy,./Session1/sentences/wav/Ses01M_script01_3/Ses01M_script01_3_M019.wav
happy,./Session3/sentences/wav/Ses03F_impro03/Ses03F_impro03_F015.wav
sad,./Session2/sentences/wav/Ses02M_script01_3/Ses02M_script01_3_M021.wav
angry,./Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F033.wav
neutral,./Session4/sentences/wav/Ses04F_impro07/Ses04F_impro07_M072.wav
neutral,./Session5/sentences/wav/Ses05F_impro05/Ses05F_impro05_M051.wav
sad,./Session3/sentences/wav/Ses03F_script01_3/Ses03F_script01_3_M041.wav
angry,./Session4/sentences/wav/Ses04F_impro01/Ses04F_impro01_F022.wav
angry,./Session3/sentences/wav/Ses03F_script03_2/Ses03F_script03_2_M017.wav
sad,./Session2/sentences/wav/Ses02F_impro02/Ses02F_impro02_F009.wav
angry,./Session5/sentences/wav/Ses05M_script03_2/Ses05M_script03_2_F044.wav
angry,./Session1/sentences/wav/Ses01M_script03_2/Ses01M_script03_2_M029.wav
angry,./Session1/sentences/wav/Ses01M_script01_2/Ses01M_script01_2_F012.wav
neutral,./Session2/sentences/wav/Ses02F_script01_2/Ses02F_script01_2_M008.wav
sad,./Session3/sentences/wav/Ses03F_script01_3/Ses03F_script01_3_F028.wav
sad,./Session5/sentences/wav/Ses05F_script02_2/Ses05F_script02_2_F014.wav
sad,./Session4/sentences/wav/Ses04M_impro06/Ses04M_impro06_F009.wav
angry,./Session1/sentences/wav/Ses01M_script03_2/Ses01M_script03_2_M042.wav
neutral,./Session5/sentences/wav/Ses05F_impro08/Ses05F_impro08_F003.wav
neutral,./Session3/sentences/wav/Ses03F_script03_2/Ses03F_script03_2_F013.wav
neutral,./Session4/sentences/wav/Ses04F_impro04/Ses04F_impro04_F000.wav
angry,./Session3/sentences/wav/Ses03F_script03_2/Ses03F_script03_2_M000.wav
sad,./Session5/sentences/wav/Ses05M_script02_2/Ses05M_script02_2_F016.wav
angry,./Session3/sentences/wav/Ses03F_script02_1/Ses03F_script02_1_F003.wav
happy,./Session4/sentences/wav/Ses04F_impro06/Ses04F_impro06_F009.wav
sad,./Session1/sentences/wav/Ses01M_script02_2/Ses01M_script02_2_F037.wav
angry,./Session4/sentences/wav/Ses04F_impro04/Ses04F_impro04_F005.wav
neutral,./Session5/sentences/wav/Ses05M_script03_2/Ses05M_script03_2_F002.wav
happy,./Session2/sentences/wav/Ses02F_script02_1/Ses02F_script02_1_M015.wav
neutral,./Session1/sentences/wav/Ses01M_script02_2/Ses01M_script02_2_M022.wav
happy,./Session1/sentences/wav/Ses01M_script03_1/Ses01M_script03_1_F039.wav
angry,./Session3/sentences/wav/Ses03M_impro05a/Ses03M_impro05a_M003.wav
happy,./Session5/sentences/wav/Ses05F_impro07/Ses05F_impro07_F030.wav
angry,./Session2/sentences/wav/Ses02M_script03_2/Ses02M_script03_2_F037.wav
neutral,./Session2/sentences/wav/Ses02M_impro08/Ses02M_impro08_M012.wav
sad,./Session5/sentences/wav/Ses05F_script02_2/Ses05F_script02_2_F027.wav
happy,./Session2/sentences/wav/Ses02F_impro07/Ses02F_impro07_F020.wav
sad,./Session5/sentences/wav/Ses05F_impro06/Ses05F_impro06_M001.wav
sad,./Session1/sentences/wav/Ses01M_script02_2/Ses01M_script02_2_F034.wav
angry,./Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_F030.wav
neutral,./Session3/sentences/wav/Ses03F_script02_1/Ses03F_script02_1_M020.wav
neutral,./Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F000.wav
sad,./Session1/sentences/wav/Ses01M_script01_1/Ses01M_script01_1_M040.wav
neutral,./Session5/sentences/wav/Ses05F_script01_2/Ses05F_script01_2_M001.wav
happy,./Session5/sentences/wav/Ses05M_impro03/Ses05M_impro03_M030.wav
happy,./Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_F000.wav
happy,./Session5/sentences/wav/Ses05F_script02_2/Ses05F_script02_2_M020.wav
angry,./Session1/sentences/wav/Ses01F_script01_2/Ses01F_script01_2_F007.wav
happy,./Session3/sentences/wav/Ses03M_script02_2/Ses03M_script02_2_F049.wav
happy,./Session5/sentences/wav/Ses05M_script02_2/Ses05M_script02_2_F034.wav
neutral,./Session3/sentences/wav/Ses03F_impro08/Ses03F_impro08_F014.wav
sad,./Session5/sentences/wav/Ses05F_script01_1/Ses05F_script01_1_F004.wav
neutral,./Session1/sentences/wav/Ses01M_script03_2/Ses01M_script03_2_M013.wav
neutral,./Session5/sentences/wav/Ses05M_impro08/Ses05M_impro08_M024.wav
happy,./Session2/sentences/wav/Ses02F_impro07/Ses02F_impro07_M007.wav
happy,./Session5/sentences/wav/Ses05M_impro07/Ses05M_impro07_F035.wav
neutral,./Session5/sentences/wav/Ses05M_impro03/Ses05M_impro03_F006.wav
neutral,./Session2/sentences/wav/Ses02M_script01_1/Ses02M_script01_1_F023.wav
sad,./Session4/sentences/wav/Ses04F_impro06/Ses04F_impro06_F002.wav
neutral,./Session3/sentences/wav/Ses03F_script01_1/Ses03F_script01_1_M003.wav
neutral,./Session3/sentences/wav/Ses03F_impro07/Ses03F_impro07_M004.wav
neutral,./Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_M033.wav
sad,./Session2/sentences/wav/Ses02M_impro02/Ses02M_impro02_M013.wav
happy,./Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_M019.wav
angry,./Session4/sentences/wav/Ses04M_script03_2/Ses04M_script03_2_F041.wav
angry,./Session3/sentences/wav/Ses03F_impro05/Ses03F_impro05_F002.wav
sad,./Session2/sentences/wav/Ses02M_impro06/Ses02M_impro06_M018.wav
happy,./Session4/sentences/wav/Ses04F_impro03/Ses04F_impro03_F044.wav
happy,./Session1/sentences/wav/Ses01M_script03_1/Ses01M_script03_1_M029.wav
neutral,./Session5/sentences/wav/Ses05F_impro05/Ses05F_impro05_F007.wav
happy,./Session2/sentences/wav/Ses02M_impro03/Ses02M_impro03_M014.wav
neutral,./Session5/sentences/wav/Ses05F_script02_2/Ses05F_script02_2_M005.wav
happy,./Session2/sentences/wav/Ses02F_script03_1/Ses02F_script03_1_F019.wav
happy,./Session5/sentences/wav/Ses05F_impro03/Ses05F_impro03_M041.wav
neutral,./Session5/sentences/wav/Ses05F_script02_2/Ses05F_script02_2_M016.wav
angry,./Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_F043.wav
neutral,./Session2/sentences/wav/Ses02F_impro08/Ses02F_impro08_M015.wav
neutral,./Session1/sentences/wav/Ses01M_impro05/Ses01M_impro05_F021.wav
sad,./Session1/sentences/wav/Ses01M_impro06/Ses01M_impro06_M013.wav
happy,./Session2/sentences/wav/Ses02F_impro03/Ses02F_impro03_M025.wav
happy,./Session5/sentences/wav/Ses05F_impro03/Ses05F_impro03_F051.wav
happy,./Session1/sentences/wav/Ses01F_script03_1/Ses01F_script03_1_F006.wav
happy,./Session4/sentences/wav/Ses04M_script03_1/Ses04M_script03_1_F014.wav
sad,./Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_F044.wav
happy,./Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_F011.wav
sad,./Session3/sentences/wav/Ses03M_script01_3/Ses03M_script01_3_F029.wav
neutral,./Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M029.wav
happy,./Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_M023.wav
happy,./Session4/sentences/wav/Ses04F_impro07/Ses04F_impro07_F015.wav
neutral,./Session4/sentences/wav/Ses04F_script03_1/Ses04F_script03_1_M029.wav
sad,./Session5/sentences/wav/Ses05F_script01_3/Ses05F_script01_3_M035.wav
neutral,./Session4/sentences/wav/Ses04F_impro03/Ses04F_impro03_M029.wav
sad,./Session1/sentences/wav/Ses01F_script01_3/Ses01F_script01_3_M022.wav
sad,./Session1/sentences/wav/Ses01M_impro06/Ses01M_impro06_M016.wav
neutral,./Session3/sentences/wav/Ses03M_script03_2/Ses03M_script03_2_M020.wav
happy,./Session5/sentences/wav/Ses05M_impro07/Ses05M_impro07_M029.wav
neutral,./Session4/sentences/wav/Ses04M_impro08/Ses04M_impro08_M013.wav
neutral,./Session4/sentences/wav/Ses04F_impro04/Ses04F_impro04_M013.wav
angry,./Session4/sentences/wav/Ses04F_script03_2/Ses04F_script03_2_M035.wav
happy,./Session3/sentences/wav/Ses03F_impro03/Ses03F_impro03_M010.wav
angry,./Session4/sentences/wav/Ses04F_impro08/Ses04F_impro08_M014.wav
neutral,./Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M024.wav
sad,./Session3/sentences/wav/Ses03M_impro02/Ses03M_impro02_M026.wav
happy,./Session4/sentences/wav/Ses04F_script02_1/Ses04F_script02_1_M011.wav
sad,./Session3/sentences/wav/Ses03F_script01_3/Ses03F_script01_3_M032.wav
neutral,./Session2/sentences/wav/Ses02M_script01_2/Ses02M_script01_2_M004.wav
angry,./Session4/sentences/wav/Ses04F_script01_1/Ses04F_script01_1_M010.wav
angry,./Session1/sentences/wav/Ses01M_impro01/Ses01M_impro01_M020.wav
neutral,./Session2/sentences/wav/Ses02F_script01_1/Ses02F_script01_1_M029.wav
happy,./Session4/sentences/wav/Ses04M_impro03/Ses04M_impro03_M008.wav
happy,./Session5/sentences/wav/Ses05F_script02_2/Ses05F_script02_2_F033.wav
neutral,./Session3/sentences/wav/Ses03M_script01_2/Ses03M_script01_2_M001.wav
sad,./Session4/sentences/wav/Ses04F_impro06/Ses04F_impro06_F007.wav
angry,./Session1/sentences/wav/Ses01F_script03_2/Ses01F_script03_2_M040.wav
neutral,./Session3/sentences/wav/Ses03M_script01_1/Ses03M_script01_1_M019.wav
happy,./Session4/sentences/wav/Ses04M_impro03/Ses04M_impro03_M019.wav
neutral,./Session2/sentences/wav/Ses02F_impro04/Ses02F_impro04_M004.wav
sad,./Session1/sentences/wav/Ses01M_script01_3/Ses01M_script01_3_F018.wav
neutral,./Session5/sentences/wav/Ses05M_script01_2/Ses05M_script01_2_M000.wav
sad,./Session1/sentences/wav/Ses01M_script01_3/Ses01M_script01_3_M023.wav
angry,./Session4/sentences/wav/Ses04F_script03_2/Ses04F_script03_2_F043.wav
angry,./Session3/sentences/wav/Ses03M_script02_2/Ses03M_script02_2_F016.wav
sad,./Session1/sentences/wav/Ses01M_impro06/Ses01M_impro06_M022.wav
neutral,./Session3/sentences/wav/Ses03M_script03_2/Ses03M_script03_2_F006.wav
neutral,./Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_F001.wav
happy,./Session5/sentences/wav/Ses05F_impro03/Ses05F_impro03_M020.wav
happy,./Session2/sentences/wav/Ses02F_script02_1/Ses02F_script02_1_M040.wav
neutral,./Session3/sentences/wav/Ses03M_impro05b/Ses03M_impro05b_F027.wav
neutral,./Session5/sentences/wav/Ses05F_impro04/Ses05F_impro04_M042.wav
happy,./Session5/sentences/wav/Ses05M_impro07/Ses05M_impro07_M023.wav
sad,./Session3/sentences/wav/Ses03M_impro04/Ses03M_impro04_M026.wav
happy,./Session1/sentences/wav/Ses01M_impro07/Ses01M_impro07_M004.wav
sad,./Session3/sentences/wav/Ses03F_script01_3/Ses03F_script01_3_F031.wav
happy,./Session2/sentences/wav/Ses02F_impro07/Ses02F_impro07_F001.wav
neutral,./Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_F016.wav
angry,./Session3/sentences/wav/Ses03M_impro05a/Ses03M_impro05a_M005.wav
happy,./Session3/sentences/wav/Ses03F_script01_3/Ses03F_script01_3_M020.wav
neutral,./Session2/sentences/wav/Ses02F_script02_1/Ses02F_script02_1_M017.wav
happy,./Session2/sentences/wav/Ses02M_script03_1/Ses02M_script03_1_F002.wav
happy,./Session1/sentences/wav/Ses01M_impro03/Ses01M_impro03_M004.wav
neutral,./Session3/sentences/wav/Ses03F_impro08/Ses03F_impro08_F028.wav
neutral,./Session2/sentences/wav/Ses02M_impro01/Ses02M_impro01_F016.wav
sad,./Session2/sentences/wav/Ses02M_impro06/Ses02M_impro06_M008.wav
sad,./Session4/sentences/wav/Ses04F_script01_1/Ses04F_script01_1_M004.wav
happy,./Session2/sentences/wav/Ses02M_impro03/Ses02M_impro03_M028.wav
neutral,./Session2/sentences/wav/Ses02M_impro05/Ses02M_impro05_F008.wav
angry,./Session2/sentences/wav/Ses02M_script02_2/Ses02M_script02_2_M029.wav
angry,./Session4/sentences/wav/Ses04M_script03_2/Ses04M_script03_2_M054.wav
sad,./Session5/sentences/wav/Ses05M_script02_2/Ses05M_script02_2_M032.wav
angry,./Session3/sentences/wav/Ses03F_script03_2/Ses03F_script03_2_F026.wav
sad,./Session3/sentences/wav/Ses03F_impro06/Ses03F_impro06_F001.wav
